Rank,FinalWorth,PersonName,Source,Industries,CountryOfCitizenship,Gender,BirthDate,LastName,WealthList,EstWorthPrev,FamilyList
1,211873.798,Bernard Arnault & family,LVMH,['Fashion & Retail'],France,M,-657244800000.0,Arnault,False,210651.187418,False
2,197690.841,Elon Musk,"Tesla, SpaceX",['Automotive'],United States,M,46915200000.0,Musk,False,196840.616935,False
3,191782.638,Jeff Bezos,Amazon,['Technology'],United States,M,-188438400000.0,Bezos,False,191209.451846,False
4,165431.052,Mark Zuckerberg,Facebook,['Technology'],United States,M,453340800000.0,Zuckerberg,False,160173.304926,False
5,144607.304,Larry Ellison,Oracle,['Technology'],United States,M,-800755200000.0,Ellison,False,143032.599701,False
6,130906.461,Warren Buffett,Berkshire Hathaway,['Finance & Investments'],United States,M,-1241481600000.0,Buffett,False,129360.395137,False
7,124275.769,Bill Gates,Microsoft,['Technology'],United States,M,-447465600000.0,Gates,False,123378.333399,False
8,121514.841,Larry Page,Google,['Technology'],United States,M,101952000000.0,Page,False,120688.764391,False
9,120687.657,Steve Ballmer,Microsoft,['Technology'],United States,M,-434678400000.0,Ballmer,False,119166.15966,False
10,116481.478,Sergey Brin,Google,['Technology'],United States,M,114739200000.0,Brin,False,115704.787183,False
11,111390.52,Mukesh Ambani,Diversified,['Diversified'],India,M,-400896000000.0,Ambani,False,110568.353157,False
12,100271.585,Carlos Slim Helu & family,Telecom,['Telecom'],Mexico,M,-944438400000.0,Slim Helu,False,101233.035061,False
13,98208.433,Francoise Bettencourt Meyers & family,L'Oréal,['Fashion & Retail'],France,F,-520041600000.0,Bettencourt Meyers,False,98557.585464,False
14,97092.758,Amancio Ortega,Zara,['Fashion & Retail'],Spain,M,-1065484800000.0,Ortega,False,98232.437301,False
15,96308.0,Michael Bloomberg,Bloomberg LP,['Finance & Investments'],United States,M,-879811200000.0,Bloomberg,False,96308.0,False
16,82248.362,Gautam Adani,"Infrastructure, commodities",['Diversified'],India,M,-237427200000.0,Adani,False,79915.340739,False
17,72079.455,Michael Dell,Dell Technologies,['Technology'],United States,M,-153187200000.0,Dell,False,71791.395485,False
18,70269.533,Jim Walton & family,Walmart,['Fashion & Retail'],United States,M,-680659200000.0,Walton,False,70116.065316,False
19,69452.504,Rob Walton & family,Walmart,['Fashion & Retail'],United States,M,-794620800000.0,Walton,False,69302.023105,False
20,65291.361,Alice Walton,Walmart,['Fashion & Retail'],United States,F,-638582400000.0,Walton,False,65139.187002,False
