empresa,pais,ventas,beneficios,activos,valor de mercado
Apple,United States,293971.0,63930.0,354054.0,2252292.0
Microsoft,United States,153284.0,51310.0,304137.0,1966559.0
Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,229747.0,49282.8,510252.0,1897165.0
Amazon,United States,386064.0,21331.0,321195.0,1711839.0
Alphabet,United States,182350.0,40269.0,319616.0,1538884.0
Facebook,United States,85966.0,29145.0,159316.0,870476.0
Tencent Holdings,China,69990.0,23326.7,203894.0,773802.0
Tesla,United States,31536.0,690.0,52148.0,710081.0
Alibaba Group,China,93828.0,23298.0,250056.0,657522.0
Berkshire Hathaway,United States,245510.0,42521.0,873729.0,624408.0
Taiwan Semiconductor,Taiwan,48057.0,18676.1,98253.0,558145.0
Samsung Electronics,South Korea,200703.0,22113.0,348187.0,510507.0
Visa,United States,21479.0,10359.0,80426.0,483900.0
JPMorgan Chase,United States,136187.0,40371.0,3689336.0,464822.0
Johnson & Johnson,United States,82572.0,14714.0,174894.0,427131.0
NVIDIA,United States,16675.0,4332.0,28791.0,396147.0
Walmart,United States,559151.0,13510.0,252496.0,396108.0
Kweichow Moutai,China,12185.0,6765.5,32630.0,395754.0
Mastercard,United States,15301.0,6411.0,33584.0,383607.0
LVMH Moët Hennessy Louis Vuitton,France,50901.0,5360.2,132964.0,380294.0
UnitedHealth Group,United States,262916.0,16883.0,205171.0,369629.0
Home Depot,United States,132110.0,12866.0,70581.0,352758.0
Walt Disney,United States,60409.0,-4954.0,201888.0,339926.0
Procter & Gamble,United States,73975.0,13848.0,120112.0,337975.0
Bank of America,United States,98841.0,17894.0,2832182.0,336288.0
Nestlé,Switzerland,89859.0,13032.0,140311.0,333156.0
PayPal,United States,21434.0,4202.0,70379.0,316898.0
Roche Holding,Switzerland,62137.0,15229.9,97447.0,287052.0
ASML Holding,Netherlands,15935.0,4051.0,33363.0,267644.0
Intel,United States,77867.0,20899.0,153091.0,263685.0
Comcast,United States,103564.0,10534.0,273869.0,252440.0
Adobe,United States,13697.0,5566.0,24985.0,250988.0
ICBC,China,190467.0,45768.7,4914670.0,249532.0
Netflix,United States,24996.0,2761.4,39280.0,242060.0
Verizon Communications,United States,128292.0,17801.0,316481.0,241279.0
ExxonMobil,United States,178170.0,-22440.0,332750.0,239869.0
Coca-Cola,United States,33029.0,7747.0,87296.0,231324.0
Oracle,United States,39692.0,12830.0,118109.0,227655.0
L'Oréal,France,31910.0,4062.2,53355.0,225724.0
Cisco Systems,United States,48022.0,10129.0,95601.0,222910.0
Abbott Laboratories,United States,34608.0,4452.0,72548.0,220290.0
Toyota Motor,Japan,249370.0,14341.7,561870.0,219175.0
Meituan ,China,16723.0,659.6,25471.0,218625.0
Pfizer,United States,47644.0,9615.0,154229.0,215150.0
AT&T,United States,171760.0,-5176.0,525761.0,213797.0
Salesforce.com,United States,21252.0,4072.0,66301.0,213589.0
Nike,United States,38456.0,3428.0,36185.0,212204.0
Ping An Insurance Group,China,169127.0,20754.6,1453814.0,211166.0
China Construction Bank,China,173478.0,39299.2,4301700.0,210435.0
PepsiCo,United States,71312.0,7496.0,91224.0,199176.0
Novartis,Switzerland,48631.0,8074.3,132189.0,198606.0
Chevron,United States,94402.0,-5543.0,239790.0,198513.0
Merck & Co.,United States,47823.0,7068.0,91588.0,196024.0
Broadcom,United States,24685.0,3953.0,76972.0,195491.0
Thermo Fisher Scientific,United States,32218.0,6375.0,69052.0,193726.0
China Merchants Bank,China,60414.0,14091.9,1278548.0,192801.0
Accenture,Ireland,45677.0,5457.3,39985.0,190861.0
AbbVie,United States,45804.0,4551.0,150565.0,190443.0
BHP Group,Australia,46061.0,6930.0,103233.0,186136.0
Wells Fargo,United States,85902.0,7390.0,1959543.0,181546.0
Eli Lilly,United States,24540.0,6193.7,46633.0,181382.0
Texas Instruments,United States,14461.0,5568.0,19351.0,177153.0
McDonald's,United States,19208.0,4730.5,52627.0,173778.0
Danaher,United States,22284.0,3646.9,76161.0,173318.0
Medtronic,Ireland,27927.0,2892.0,97270.0,169736.0
Novo Nordisk,Denmark,19413.0,6443.8,23822.0,167333.0
Reliance Industries,India,61195.0,5699.9,166258.0,164908.0
SAP,Germany,31656.0,6291.3,71543.0,164227.0
Costco Wholesale,United States,178626.0,4344.0,54918.0,164056.0
Softbank,Japan,70291.0,14934.9,366689.0,163120.0
Honeywell International,United States,32640.0,4779.0,64586.0,161209.0
Tata Consultancy Services,India,22116.0,4368.6,17884.0,158878.0
NextEra Energy,United States,17228.0,2920.0,127684.0,158760.0
Qualcomm,United States,26690.0,6728.0,37479.0,157007.0
United Parcel Service,United States,84432.0,1427.0,62408.0,155998.0
Wuliangye Yibin,China,6832.0,2769.1,14680.0,155790.0
AIA Group,Hong Kong,42617.0,5778.2,321561.0,153663.0
Royal Dutch Shell,Netherlands,170189.0,-22166.3,379268.0,151972.0
Linde,United Kingdom,27243.0,2501.0,88229.0,151602.0
Citigroup,United States,84370.0,17068.0,2314266.0,151181.0
Unilever,United Kingdom,57833.0,6346.1,82784.0,151051.0
Shopify,Canada,2929.0,319.5,7763.0,149648.0
Lowe's,United States,89597.0,5811.0,48290.0,149352.0
Union Pacific,United States,19533.0,5349.0,63466.0,148482.0
Amgen,United States,25246.0,7264.0,62948.0,147238.0
Volkswagen Group,Germany,254081.0,9500.5,646384.0,147159.0
Bristol Myers Squibb,United States,42518.0,-9015.0,118481.0,146233.0
Boeing,United States,58161.0,-11873.0,152136.0,144848.0
Philip Morris International,United States,28697.0,8036.0,44815.0,144801.0
Agricultural Bank of China,China,153920.0,31300.2,4159920.0,140084.0
Siemens,Germany,58017.0,4932.7,148579.0,139762.0
Starbucks,United States,23168.0,664.8,29968.0,139322.0
Sony,Japan,79871.0,10091.2,250677.0,137257.0
Rio Tinto,Australia,44514.0,9714.2,97390.0,135250.0
RBC,Canada,42870.0,8794.0,1308193.0,135040.0
China Mobile,Hong Kong,111262.0,15616.7,264210.0,134923.0
Anheuser-Busch InBev,Belgium,46752.0,-742.0,229952.0,134128.0
AstraZeneca,United Kingdom,27656.0,3190.0,66729.0,133888.0
Kuaishou Technology,China,8516.0,-16898.2,7974.0,129533.0
Hermès International,France,7284.0,1588.7,13521.0,128626.0
Sanofi ,France,41086.0,14037.6,140132.0,127367.0
Caterpillar,United States,41746.0,2998.0,78324.0,127252.0
Charter Communications,United States,48097.0,3222.0,146099.0,124834.0
Morgan Stanley,United States,56690.0,13418.0,1158772.0,123918.0
BlackRock,United States,18086.0,5325.0,176982.0,123855.0
Applied Materials,United States,18200.0,3857.0,23305.0,122719.0
Commonwealth Bank,Australia,22381.0,5748.4,816200.0,120650.0
TD Bank Group,Canada,38796.0,9100.3,1358640.0,120591.0
American Express,United States,38185.0,3114.0,191367.0,120505.0
HSBC Holdings,United Kingdom,60626.0,3975.0,2984164.0,120323.0
Deere & Company,United States,37038.0,3458.0,75480.0,120069.0
IBM,United States,73621.0,5589.0,155971.0,119375.0
JD.com,China,108331.0,7233.5,64572.0,119365.0
Raytheon Technologies,United States,63519.0,-3519.0,162153.0,118584.0
Total,France,119715.0,-7579.0,266132.0,118449.0
Contemporary Amperex Technology,China,6309.0,635.5,20229.0,117730.0
General Electric,United States,79857.0,5581.0,255050.0,117626.0
Charles Schwab,United States,13824.0,3988.0,563500.0,116914.0
Bank of China,China,134016.0,27945.8,3731408.0,116688.0
Pinduoduo,China,8717.0,-1038.2,24299.0,116498.0
Goldman Sachs Group,United States,61843.0,15082.0,1302000.0,116459.0
Square,United States,9498.0,213.1,9870.0,116427.0
Keyence,Japan,4845.0,1711.0,18469.0,115452.0
3M,United States,32184.0,5384.0,47344.0,115061.0
Intuit,United States,7717.0,1747.0,14598.0,113868.0
The Estée Lauder Companies,United States,14178.0,928.0,19595.0,113286.0
Uber,United States,12084.0,-6768.0,33252.0,112695.0
Postal Savings Bank Of China (PSBC),China,67249.0,9280.8,1736173.0,112358.0
American Tower,United States,8042.0,1690.6,47234.0,110578.0
ServiceNow,United States,4519.0,118.5,8715.0,109210.0
Lockheed Martin,United States,65398.0,6833.0,50710.0,109202.0
Allianz,Germany,129859.0,7759.8,1357537.0,107977.0
AirBnB,United States,3378.0,-4584.7,10491.0,107077.0
Naspers,South Africa,4783.0,3103.7,45660.0,106127.0
Inditex,Spain,23427.0,1270.0,32095.0,106050.0
HDFC Bank,India,20677.0,4139.1,233578.0,105918.0
Enel,Italy,71389.0,2975.3,199993.0,105433.0
Diageo,United Kingdom,14652.0,1441.4,44841.0,104352.0
Target,United States,93561.0,4368.0,51248.0,103986.0
Booking Holdings,United States,6796.0,59.0,21874.0,101679.0
Micron Technology,United States,23503.0,3197.0,54135.0,101668.0
Advanced Micro Devices,United States,9763.0,2490.0,8962.0,99780.0
CVS Health,United States,268654.0,7179.0,238489.0,99594.0
Daimler,Germany,175908.0,4134.7,349614.0,99184.0
Vale,Brazil,40427.0,5178.7,92051.0,99168.0
